chart_layer_id,setup_id,symbol,timeframe,layer_type,label,price,start_price,end_price,start_time,end_time,color,style,source,is_operational
trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|layers,trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|5,US30,H1,r2,R2 previo,52389.033,,,2026-02-03 22:00:00,2026-06-05 21:00:00,#80d8ff,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|layers,trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|5,US30,H1,r3,R3 previo,53030.617,,,2026-02-03 22:00:00,2026-06-05 21:00:00,#5ce0ca,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|layers,trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|5,US30,H1,s2,S2 previo,50374.733,,,2026-02-03 22:00:00,2026-06-05 21:00:00,#80d8ff,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|layers,trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|5,US30,H1,s3,S3 previo,50009.167,,,2026-02-03 22:00:00,2026-06-05 21:00:00,#5ce0ca,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|layers,trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|5,US30,H1,previous_high,Maximo dia previo,51747.45,,,2026-02-03 22:00:00,2026-06-05 21:00:00,#7bd88f,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|layers,trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|5,US30,H1,previous_low,Minimo dia previo,50740.3,,,2026-02-03 22:00:00,2026-06-05 21:00:00,#e36d64,dash,ohlc_previous_day_context,False
trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|layers,trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|5,US30,H1,round_level_1,Nivel redondo inferior,50900,,,2026-02-03 22:00:00,2026-06-05 21:00:00,#a56cff,solid,ohlc_nearby_round_levels,False
trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|layers,trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|5,US30,H1,round_level_2,Nivel redondo superior,51000,,,2026-02-03 22:00:00,2026-06-05 21:00:00,#a56cff,solid,ohlc_nearby_round_levels,False
trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|layers,trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|5,US30,H1,fibonacci_0_0,Fib 0,51747.45,,,2026-05-21 02:00:00,2026-06-05 21:00:00,#d7a84b,solid,fibonacci_context_v1,False
trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|layers,trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|5,US30,H1,fibonacci_1_0,Fib 100,50727.3,,,2026-05-21 02:00:00,2026-06-05 21:00:00,#d7a84b,solid,fibonacci_context_v1,False
trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|layers,trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|5,US30,H1,fibonacci_0_236,Fib 23.6,51506.695,,,2026-05-21 02:00:00,2026-06-05 21:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|layers,trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|5,US30,H1,fibonacci_0_382,Fib 38.2,51357.753,,,2026-05-21 02:00:00,2026-06-05 21:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|layers,trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|5,US30,H1,fibonacci_0_5,Fib 50,51237.375,,,2026-05-21 02:00:00,2026-06-05 21:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|layers,trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|5,US30,H1,fibonacci_0_618,Fib 61.8,51116.997,,,2026-05-21 02:00:00,2026-06-05 21:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|layers,trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|5,US30,H1,fibonacci_0_786,Fib 78.6,50945.612,,,2026-05-21 02:00:00,2026-06-05 21:00:00,#c793ff,dash,fibonacci_context_v1,False
trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|layers,trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|5,US30,H1,fibonacci_1_272,Fib ext 1.272,52024.931,,,2026-05-21 02:00:00,2026-06-05 21:00:00,#8f6bd1,dot,fibonacci_context_v1,False
trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|layers,trading_center_screener_unified_v1|US30|H1|rsi_extreme_with_context|5,US30,H1,fibonacci_1_618,Fib ext 1.618,52377.903,,,2026-05-21 02:00:00,2026-06-05 21:00:00,#8f6bd1,dot,fibonacci_context_v1,False
