metric,value,count
guided_quality_bucket,exclude,74
guided_quality_bucket,high_quality_context,29
guided_quality_bucket,experimental_only,23
guided_quality_bucket,usable_but_provisional,10
guided_quality_bucket,ambiguous_context,1
phase25_allowed_use,exclude,48
phase25_allowed_use,experimental,47
phase25_allowed_use,manual_review_only,24
phase25_allowed_use,soft_context,14
phase25_allowed_use,candidate_structure,4
structure_type,invalid_or_negative,57
structure_type,abc_correction,29
structure_type,impulse,23
structure_type,partial_123,19
structure_type,ambiguous,9
timeframe_policy,auxiliary_h1_h4,68
timeframe_policy,primary_h4_d1,67
timeframe_policy,microstructure_m30_h1,2
swing_degree,minor,46
swing_degree,intermediate,46
swing_degree,major,45
ready_for_phase251_search,no,80
ready_for_phase251_search,manual_review,54
ready_for_phase251_search,yes,3
suggested_next_search_mode,do_not_search,80
suggested_next_search_mode,search_auxiliary_substructure,36
suggested_next_search_mode,search_higher_degree_major_context,14
suggested_next_search_mode,search_h4_correction_context,4
suggested_next_search_mode,search_h4_intermediate_impulse,3
